Position,Artist,Song Title,Year,JSON file,Split Names,Song Language
1,Gordon Jenkins and The Weavers,Goodnight Irene,1950,0.json,Gordon Jenkins,en
2,Nat King Cole,Mona Lisa,1950,1.json,Nat King Cole,en
4,Gary and Bing Crosby,Sam's Song,1950,3.json,Gary,en
5,Gary and Bing Crosby,Simple Melody,1950,4.json,Gary,en
6,Teresa Brewer,"Music, Music, Music",1950,5.json,Teresa Brewer,en
7,Guy Lombardo,Third Man Theme,1950,6.json,Guy Lombardo,en
8,Red Foley,Chattanoogie Shoe Shine Boy,1950,7.json,Red Foley,en
9,Sammy Kaye,Harbor Lights,1950,8.json,Sammy Kaye,en
10,Sammy Kaye and Don Cornell,It Isn't Fair,1950,9.json,Sammy Kaye,en
11,Eileen Barton,If I Knew You Were Coming I'd've Baked A Cake,1950,10.json,Eileen Barton,en
12,Kay Starr,Bonaparte's Retreat,1950,11.json,Kay Starr,en
14,Tony Martin,There's No Tomorrow,1950,13.json,Tony Martin,en
15,Phil Harris,The Thing,1950,14.json,Phil Harris,en
16,Ames Brothers,Sentimental Me,1950,15.json,Ames Brothers,en
17,Andrews Sisters and Gordon Jenkins,I Wanna Be Loved,1950,16.json,Andrews Sisters,en
18,Patti Page,Tennessee Waltz,1950,17.json,Patti Page,en
19,Andrews Sisters and Gordon Jenkins,"I Can Dream, Can't I",1950,18.json,Andrews Sisters,en
20,Tennessee Ernie Ford and Kay Starr,I'll Never Be Free,1950,19.json,Tennessee Ernie Ford,en
21,Patti Page,All My Love,1950,20.json,Patti Page,en
22,Gordon Jenkins,My Foolish Heart,1950,21.json,Gordon Jenkins,en
25,Perry Como,Hoop-Dee-Doo,1950,24.json,Perry Como,en
27,Ames Brothers,Can Anyone Explain?,1950,26.json,Ames Brothers,en
28,Billy Eckstine,My Foolish Heart,1950,27.json,Billy Eckstine,en
29,Bing Crosby,Dear Hearts And Gentle People,1950,28.json,Bing Crosby,en
30,Frankie Laine,Cry Of The Wild Goose,1950,29.json,Frankie Laine,en
1,Nat King Cole,Too Young,1951,30.json,Nat King Cole,en
2,Tony Bennett,Because Of You,1951,31.json,Tony Bennett,en
3,Les Paul and Mary Ford,How High The Moon,1951,32.json,Les Paul,en
4,Rosemary Clooney,Come On-a My House,1951,33.json,Rosemary Clooney,en
5,Mario Lanza,Be My Love,1951,34.json,Mario Lanza,en
6,Weavers,On Top Of Old Smoky,1951,35.json,Weavers,en
7,Tony Bennett,"Cold, Cold Heart",1951,36.json,Tony Bennett,en
8,Perry Como,If,1951,37.json,Perry Como,en
9,Mario Lanza,Loveliest Night Of The Year,1951,38.json,Mario Lanza,en
10,Patti Page,Tennessee Waltz,1951,39.json,Patti Page,en
11,Frankie Laine,Jezebel,1951,40.json,Frankie Laine,en
12,Tony Martin,I Get Ideas,1951,41.json,Tony Martin,en
13,Les Paul and Mary Ford,Mockin' Bird Hill,1951,42.json,Les Paul,en
14,Patti Page,Mockin' Bird Hill,1951,43.json,Patti Page,en
15,Guy Mitchell and Mitch Miller,My Heart Cries For You,1951,44.json,Guy Mitchell,en
16,Eddy Howard,(It's No) Sin,1951,45.json,Eddy Howard,en
17,Vaughn Monroe,Sound Off,1951,46.json,Vaughn Monroe,en
18,Dinah Shore,Sweet Violets,1951,47.json,Dinah Shore,en
19,Les Paul and Mary Ford,The World Is Waiting For The Sunrise,1951,48.json,Les Paul,en
20,Guy Mitchell and Mitch Miller,"My Truly, Truly Fair",1951,49.json,Guy Mitchell,en
21,Four Aces and Al Alberta,(It's No) Sin,1951,50.json,Four Aces,en
22,Debbie Reynolds and Carleton Carpenter,Aba Daba Honeymoon,1951,51.json,Debbie Reynolds,en
23,Frankie Laine,"Rose, Rose I Love You",1951,52.json,Frankie Laine,en
25,Billy Eckstine,I Apologize,1951,54.json,Billy Eckstine,en
26,Patti Page,Would I Love You,1951,55.json,Patti Page,en
27,Perry Como and The Fontane Sisters,You're Just In Love,1951,56.json,Perry Como,en
28,Ames Brothers and Les Brown,Undecided,1951,57.json,Ames Brothers,en
29,Phil Harris,The Thing,1951,58.json,Phil Harris,en
30,Les Baxter,Because Of You,1951,59.json,Les Baxter,en
2,Kay Starr,Wheel Of Fortune,1952,61.json,Kay Starr,en
3,Johnnie Ray,Cry,1952,62.json,Johnnie Ray,en
4,Jo Stafford,You Belong To Me,1952,63.json,Jo Stafford,en
5,Vera Lynn,"Auf Wiederseh'n, Sweetheart",1952,64.json,Vera Lynn,en
6,Rosemary Clooney,Half As Much,1952,65.json,Rosemary Clooney,en
7,Eddie Fisher and Hugo Winterhalter,Wish You Were Here,1952,66.json,Eddie Fisher,en
8,Patti Page,I Went To Your Wedding,1952,67.json,Patti Page,en
9,Al Martino,Here In My Heart,1952,68.json,Al Martino,en
10,Percy Faith,Delicado,1952,69.json,Percy Faith,en
11,Georgia Gibbs,Kiss Of Fire,1952,70.json,Georgia Gibbs,en
12,Eddie Fisher and Hugo Winterhalter,Anytime,1952,71.json,Eddie Fisher,en
13,Four Aces,Tell Me Why,1952,72.json,Four Aces,en
14,Ella Mae Morse,Blacksmith Blues,1952,73.json,Ella Mae Morse,en
16,Rosemary Clooney,Botch-a-me,1952,75.json,Rosemary Clooney,en
17,Doris Day,A Guy Is A Guy,1952,76.json,Doris Day,en
19,Frankie Laine,High Noon,1952,78.json,Frankie Laine,en
20,Eddie Fisher and Hugo Winterhalter,I'm Yours,1952,79.json,Eddie Fisher,en
21,Mills Brothers,Glow Worm,1952,80.json,Mills Brothers,en
22,Johnny Standley,It's In The Book,1952,81.json,Johnny St,en
23,Pee Wee King,Slow Poke,1952,82.json,Pee Wee King,en
24,Johnnie Ray,Walkin' My Baby Back Home,1952,83.json,Johnnie Ray,en
26,Don Cornell,I'm Yours,1952,85.json,Don Cornell,en
27,Don Cornell,I'll Walk Alone,1952,86.json,Don Cornell,en
28,Eddie Fisher and Hugo Winterhalter,Tell Me Why,1952,87.json,Eddie Fisher,en
29,Hilltoppers,Trying,1952,88.json,Hilltoppers,en
30,Johnnie Ray,"Please, Mr. Sun",1952,89.json,Johnnie Ray,en
1,Percy Faith,Song From Moulin Rouge,1953,90.json,Percy Faith,en
2,Les Paul and Mary Ford,Vaya Con Dios,1953,91.json,Les Paul,en
3,Patti Page,Doggie In The Window,1953,92.json,Patti Page,en
4,Eddie Fisher,I'm Walking Behind You,1953,93.json,Eddie Fisher,en
5,Ames Brothers,"You, You, You",1953,94.json,Ames Brothers,en
6,Teresa Brewer,Till I Waltz Again With You,1953,95.json,Teresa Brewer,en
7,Les Baxter,April In Portugal,1953,96.json,Les Baxter,en
8,Perry Como,No Other Love,1953,97.json,Perry Como,en
9,Perry Como,Don't Let The Stars Get In Your Eyes,1953,98.json,Perry Como,en
10,Frankie Laine,I Believe,1953,99.json,Frankie Laine,en
13,Nat King Cole,Pretend,1953,102.json,Nat King Cole,en
15,Stan Freberg,St. George And The Dragonet,1953,104.json,Stan Freberg,en
16,Hilltoppers,P.S. I Love You,1953,105.json,Hilltoppers,en
17,Gaylords,Tell Me You're Mine,1953,106.json,Gaylords,en
19,Tony Bennett,Rags To Riches,1953,108.json,Tony Bennett,en
21,Perry Como,Say You're Mine Again,1953,110.json,Perry Como,en
24,June Valli,Crying In The Chapel,1953,113.json,June Valli,en
25,Joni James,Why Don't You Believe Me,1953,114.json,Joni James,en
26,Joni James,Your Cheating Heart,1953,115.json,Joni James,en
28,Eddie Fisher,With These Hands,1953,117.json,Eddie Fisher,en
30,Joni James,Have You Heard?,1953,119.json,Joni James,en
1,Kitty Kallen,Little Things Mean A Lot,1954,120.json,Kitty Kallen,en
2,Perry Como,Wanted,1954,121.json,Perry Como,en
3,Rosemary Clooney,Hey There,1954,122.json,Rosemary Clooney,en
4,Crew Cuts,Sh-Boom,1954,123.json,Crew Cuts,en
5,Jo Stafford,Make Love To Me,1954,124.json,Jo Stafford,en
6,Eddie Fisher,Oh! My Pa-pa,1954,125.json,Eddie Fisher,en
7,Four Knights,I Get So Lonely,1954,126.json,Four Knights,en
8,Four Aces,Three Coins In The Fountain,1954,127.json,Four Aces,en
9,Doris Day,Secret Love,1954,128.json,Doris Day,en
10,Archie Bleyer,Hernando's Hideaway,1954,129.json,Archie Bleyer,en
11,Frank Sinatra,Young At Heart,1954,130.json,Frank Sinatra,en
12,Rosemary Clooney,This Ole House,1954,131.json,Rosemary Clooney,en
13,Eddie Fisher,I Need You Now,1954,132.json,Eddie Fisher,en
14,Patti Page,Cross Over The Bridge,1954,133.json,Patti Page,en
15,Gaylords,The Little Shoemaker,1954,134.json,Gaylords,en
16,Dean Martin,That's Amore,1954,135.json,Dean Martin,en
17,Frank Weir,The Happy Wanderer,1954,136.json,Frank Weir,en
18,Nat King Cole,Answer Me My Love,1954,137.json,Nat King Cole,en
19,Tony Bennett,Stranger In Paradise,1954,138.json,Tony Bennett,en
20,Doris Day,If I Give My Heart To You,1954,139.json,Doris Day,en
21,Kay Starr,If You Love Me (Really Love Me),1954,140.json,Kay Starr,en
23,Don Cornell,Hold My Hand,1954,142.json,Don Cornell,en
24,Patti Page,Changing Partners,1954,143.json,Patti Page,en
25,Perry Como,Papa Loves Mambo,1954,144.json,Perry Como,en
26,Bill Haley and His Comets,"Shake, Rattle And Roll",1954,145.json,Bill Haley,en
27,Tony Bennett,Rags To Riches,1954,146.json,Tony Bennett,en
28,Kitty Kallen,In The Chapel In The Moonlight,1954,147.json,Kitty Kallen,en
29,Four Aces,Stranger In Paradise,1954,148.json,Four Aces,en
30,Tony Martin,Here,1954,149.json,Tony Martin,en
1,Perez Prado,Cherry Pink And Apple Blossom White,1955,150.json,Perez Prado,en
2,Bill Haley and His Comets,Rock Around The Clock,1955,151.json,Bill Haley,en
3,Mitch Miller,The Yellow Rose Of Texas,1955,152.json,Mitch Miller,en
4,Roger Williams,Autumn Leaves,1955,153.json,Roger Williams,en
5,Les Baxter,Unchained Melody,1955,154.json,Les Baxter,en
6,Bill Hayes,The Ballad Of Davy Crockett,1955,155.json,Bill Hayes,en
7,Four Aces,Love Is A Many Splendored Thing,1955,156.json,Four Aces,en
