,Position,Artist,Song Title,Year,JSON file,Split Names,Spotify ID,Spotify Artist,Spotify Song,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,2,Nat King Cole,Mona Lisa,1950,1.json,Nat King Cole,5dae01pKNjRQtgOeAkFzPY,Nat King Cole,Mona Lisa,0.952,https://api.spotify.com/v1/audio-analysis/5dae01pKNjRQtgOeAkFzPY,0.241,194987.0,0.237,5dae01pKNjRQtgOeAkFzPY,0.0,1.0,0.113,-12.201,1.0,0.0371,174.578,3.0,https://api.spotify.com/v1/tracks/5dae01pKNjRQtgOeAkFzPY,audio_features,spotify:track:5dae01pKNjRQtgOeAkFzPY,0.303
1,5,Gary and Bing Crosby,Simple Melody,1950,4.json,Gary,33FdwvfiSBRbE2AQ4UehaR,Bing Crosby,Play A Simple Melody - Single Version,0.768,https://api.spotify.com/v1/audio-analysis/33FdwvfiSBRbE2AQ4UehaR,0.658,175693.0,0.229,33FdwvfiSBRbE2AQ4UehaR,3.51e-06,10.0,0.167,-13.755,1.0,0.0473,138.8,3.0,https://api.spotify.com/v1/tracks/33FdwvfiSBRbE2AQ4UehaR,audio_features,spotify:track:33FdwvfiSBRbE2AQ4UehaR,0.829
2,6,Teresa Brewer,"Music, Music, Music",1950,5.json,Teresa Brewer,0lO5EKoz1Rb1pJoPoldE4D,Teresa Brewer,(Put Another Nickel In) Music! Music! Music!,0.667,https://api.spotify.com/v1/audio-analysis/0lO5EKoz1Rb1pJoPoldE4D,0.752,160667.0,0.443,0lO5EKoz1Rb1pJoPoldE4D,2.11e-05,2.0,0.154,-14.392,1.0,0.0398,99.136,4.0,https://api.spotify.com/v1/tracks/0lO5EKoz1Rb1pJoPoldE4D,audio_features,spotify:track:0lO5EKoz1Rb1pJoPoldE4D,0.919
3,7,Guy Lombardo,Third Man Theme,1950,6.json,Guy Lombardo,6kVfwQOc2PjVPwbk0aEmN9,Guy Lombardo,Third Man Theme,0.886,https://api.spotify.com/v1/audio-analysis/6kVfwQOc2PjVPwbk0aEmN9,0.809,177333.0,0.195,6kVfwQOc2PjVPwbk0aEmN9,0.636,0.0,0.0849,-10.808,1.0,0.0358,115.59,4.0,https://api.spotify.com/v1/tracks/6kVfwQOc2PjVPwbk0aEmN9,audio_features,spotify:track:6kVfwQOc2PjVPwbk0aEmN9,0.536
4,8,Red Foley,Chattanoogie Shoe Shine Boy,1950,7.json,Red Foley,7Jf323ttHKUnPylFWiaGl3,Red Foley,Chattanoogie Shoe Shine Boy - 1949 Single Version,0.613,https://api.spotify.com/v1/audio-analysis/7Jf323ttHKUnPylFWiaGl3,0.725,169000.0,0.373,7Jf323ttHKUnPylFWiaGl3,0.0202,10.0,0.118,-15.925,1.0,0.0494,148.367,4.0,https://api.spotify.com/v1/tracks/7Jf323ttHKUnPylFWiaGl3,audio_features,spotify:track:7Jf323ttHKUnPylFWiaGl3,0.846
5,9,Sammy Kaye,Harbor Lights,1950,8.json,Sammy Kaye,3xFxJfWdXI3QVj7t9I553s,Sammy Kaye,Harbor Lights,0.99,https://api.spotify.com/v1/audio-analysis/3xFxJfWdXI3QVj7t9I553s,0.311,202627.0,0.0584,3xFxJfWdXI3QVj7t9I553s,0.00196,2.0,0.107,-21.025,1.0,0.0313,85.587,4.0,https://api.spotify.com/v1/tracks/3xFxJfWdXI3QVj7t9I553s,audio_features,spotify:track:3xFxJfWdXI3QVj7t9I553s,0.131
6,12,Kay Starr,Bonaparte's Retreat,1950,11.json,Kay Starr,6KGLzNnPIydq6vXQuWKmqF,Kay Starr,Bonaparte's Retreat,0.817,https://api.spotify.com/v1/audio-analysis/6KGLzNnPIydq6vXQuWKmqF,0.647,157973.0,0.29,6KGLzNnPIydq6vXQuWKmqF,0.0,8.0,0.223,-12.348,1.0,0.033,136.9,4.0,https://api.spotify.com/v1/tracks/6KGLzNnPIydq6vXQuWKmqF,audio_features,spotify:track:6KGLzNnPIydq6vXQuWKmqF,0.794
7,14,Tony Martin,There's No Tomorrow,1950,13.json,Tony Martin,6LkJcX34c0lPCNfHXZiVVo,Tony Martin,There's No Tomorrow,0.954,https://api.spotify.com/v1/audio-analysis/6LkJcX34c0lPCNfHXZiVVo,0.271,195160.0,0.214,6LkJcX34c0lPCNfHXZiVVo,0.0278,10.0,0.437,-10.171,1.0,0.0304,93.787,4.0,https://api.spotify.com/v1/tracks/6LkJcX34c0lPCNfHXZiVVo,audio_features,spotify:track:6LkJcX34c0lPCNfHXZiVVo,0.196
8,15,Phil Harris,The Thing,1950,14.json,Phil Harris,4kCb5K4lyspz6G8cmW7saK,Various Artists,The Thing,0.884,https://api.spotify.com/v1/audio-analysis/4kCb5K4lyspz6G8cmW7saK,0.838,139507.0,0.686,4kCb5K4lyspz6G8cmW7saK,0.0,2.0,0.384,-7.66,1.0,0.297,126.929,3.0,https://api.spotify.com/v1/tracks/4kCb5K4lyspz6G8cmW7saK,audio_features,spotify:track:4kCb5K4lyspz6G8cmW7saK,0.922
9,15,Phil Harris,The Thing,1950,14.json,Phil Harris,4kCb5K4lyspz6G8cmW7saK,Various Artists,The Thing,0.884,https://api.spotify.com/v1/audio-analysis/4kCb5K4lyspz6G8cmW7saK,0.838,139507.0,0.686,4kCb5K4lyspz6G8cmW7saK,0.0,2.0,0.384,-7.66,1.0,0.297,126.929,3.0,https://api.spotify.com/v1/tracks/4kCb5K4lyspz6G8cmW7saK,audio_features,spotify:track:4kCb5K4lyspz6G8cmW7saK,0.922
10,18,Patti Page,Tennessee Waltz,1950,17.json,Patti Page,0BHroBUvBAp561BYqC9LRK,Patti Page,Tennessee Waltz,0.969,https://api.spotify.com/v1/audio-analysis/0BHroBUvBAp561BYqC9LRK,0.373,185000.0,0.124,0BHroBUvBAp561BYqC9LRK,0.000891,5.0,0.123,-12.95,1.0,0.0342,86.857,3.0,https://api.spotify.com/v1/tracks/0BHroBUvBAp561BYqC9LRK,audio_features,spotify:track:0BHroBUvBAp561BYqC9LRK,0.351
11,18,Patti Page,Tennessee Waltz,1950,17.json,Patti Page,0BHroBUvBAp561BYqC9LRK,Patti Page,Tennessee Waltz,0.969,https://api.spotify.com/v1/audio-analysis/0BHroBUvBAp561BYqC9LRK,0.373,185000.0,0.124,0BHroBUvBAp561BYqC9LRK,0.000891,5.0,0.123,-12.95,1.0,0.0342,86.857,3.0,https://api.spotify.com/v1/tracks/0BHroBUvBAp561BYqC9LRK,audio_features,spotify:track:0BHroBUvBAp561BYqC9LRK,0.351
12,21,Patti Page,All My Love,1950,20.json,Patti Page,19vjeNqhgk0vhH5TuxDok9,Patti Page,All My Love,0.888,https://api.spotify.com/v1/audio-analysis/19vjeNqhgk0vhH5TuxDok9,0.627,194333.0,0.193,19vjeNqhgk0vhH5TuxDok9,1.49e-06,8.0,0.119,-14.935,1.0,0.0451,123.231,4.0,https://api.spotify.com/v1/tracks/19vjeNqhgk0vhH5TuxDok9,audio_features,spotify:track:19vjeNqhgk0vhH5TuxDok9,0.596
13,24,Bill Snyder,Bewitched,1950,23.json,Bill Snyder,56GnH4I38Rq1O4WaqWc5rl,Bill Snyder,Bewitched,0.973,https://api.spotify.com/v1/audio-analysis/56GnH4I38Rq1O4WaqWc5rl,0.43,168026.0,0.145,56GnH4I38Rq1O4WaqWc5rl,0.916,6.0,0.103,-24.295,1.0,0.0351,78.801,4.0,https://api.spotify.com/v1/tracks/56GnH4I38Rq1O4WaqWc5rl,audio_features,spotify:track:56GnH4I38Rq1O4WaqWc5rl,0.185
14,25,Perry Como,Hoop-Dee-Doo,1950,24.json,Perry Como,1JTMYTNi06lZQXOnVRpoK0,Perry Como,Hoop-Dee-Doo,0.842,https://api.spotify.com/v1/audio-analysis/1JTMYTNi06lZQXOnVRpoK0,0.668,174933.0,0.446,1JTMYTNi06lZQXOnVRpoK0,0.0,1.0,0.542,-9.807,1.0,0.0507,133.329,4.0,https://api.spotify.com/v1/tracks/1JTMYTNi06lZQXOnVRpoK0,audio_features,spotify:track:1JTMYTNi06lZQXOnVRpoK0,0.928
15,28,Billy Eckstine,My Foolish Heart,1950,27.json,Billy Eckstine,4UnRb3Fmb8F2h2a1xKj6uK,Billy Eckstine,My Foolish Heart,0.993,https://api.spotify.com/v1/audio-analysis/4UnRb3Fmb8F2h2a1xKj6uK,0.218,183573.0,0.186,4UnRb3Fmb8F2h2a1xKj6uK,0.141,9.0,0.379,-13.342,1.0,0.0382,170.877,4.0,https://api.spotify.com/v1/tracks/4UnRb3Fmb8F2h2a1xKj6uK,audio_features,spotify:track:4UnRb3Fmb8F2h2a1xKj6uK,0.113
16,29,Bing Crosby,Dear Hearts And Gentle People,1950,28.json,Bing Crosby,28IBsttOK2aG9Cb4QtqhMr,Bing Crosby,Dear Hearts And Gentle People,0.91,https://api.spotify.com/v1/audio-analysis/28IBsttOK2aG9Cb4QtqhMr,0.767,161293.0,0.288,28IBsttOK2aG9Cb4QtqhMr,0.000377,2.0,0.142,-12.741,1.0,0.0397,107.741,3.0,https://api.spotify.com/v1/tracks/28IBsttOK2aG9Cb4QtqhMr,audio_features,spotify:track:28IBsttOK2aG9Cb4QtqhMr,0.722
17,30,Frankie Laine,Cry Of The Wild Goose,1950,29.json,Frankie Laine,0b0bKit4qoLBliu2KRxl3O,Frankie Laine,The Cry of the Wild Goose,0.777,https://api.spotify.com/v1/audio-analysis/0b0bKit4qoLBliu2KRxl3O,0.572,172840.0,0.273,0b0bKit4qoLBliu2KRxl3O,0.0,5.0,0.268,-14.906,0.0,0.0526,80.236,4.0,https://api.spotify.com/v1/tracks/0b0bKit4qoLBliu2KRxl3O,audio_features,spotify:track:0b0bKit4qoLBliu2KRxl3O,0.43
18,1,Nat King Cole,Too Young,1951,30.json,Nat King Cole,0zII0Soax7wbm3Avw7iVAd,Nat King Cole,Too Young,0.805,https://api.spotify.com/v1/audio-analysis/0zII0Soax7wbm3Avw7iVAd,0.201,204627.0,0.213,0zII0Soax7wbm3Avw7iVAd,8.22e-05,8.0,0.126,-14.531,1.0,0.0298,96.324,4.0,https://api.spotify.com/v1/tracks/0zII0Soax7wbm3Avw7iVAd,audio_features,spotify:track:0zII0Soax7wbm3Avw7iVAd,0.203
19,2,Tony Bennett,Because Of You,1951,31.json,Tony Bennett,1hVEHu6SemMvlYAP5MWkDj,Tony Bennett,Because of You,0.94,https://api.spotify.com/v1/audio-analysis/1hVEHu6SemMvlYAP5MWkDj,0.248,242040.0,0.22,1hVEHu6SemMvlYAP5MWkDj,0.00197,7.0,0.109,-10.768,0.0,0.0299,71.377,4.0,https://api.spotify.com/v1/tracks/1hVEHu6SemMvlYAP5MWkDj,audio_features,spotify:track:1hVEHu6SemMvlYAP5MWkDj,0.191
20,3,Les Paul and Mary Ford,How High The Moon,1951,32.json,Les Paul,0onHzLoj8yQbjbHtJzwjBx,Les Paul,How High The Moon,0.687,https://api.spotify.com/v1/audio-analysis/0onHzLoj8yQbjbHtJzwjBx,0.695,127267.0,0.582,0onHzLoj8yQbjbHtJzwjBx,0.00914,11.0,0.178,-9.567,0.0,0.0381,118.88,4.0,https://api.spotify.com/v1/tracks/0onHzLoj8yQbjbHtJzwjBx,audio_features,spotify:track:0onHzLoj8yQbjbHtJzwjBx,0.817
21,4,Rosemary Clooney,Come On-a My House,1951,33.json,Rosemary Clooney,3GVyT9fBXuEkGs1STo2WHZ,Rosemary Clooney,Come On-A My House,0.826,https://api.spotify.com/v1/audio-analysis/3GVyT9fBXuEkGs1STo2WHZ,0.527,116933.0,0.633,3GVyT9fBXuEkGs1STo2WHZ,0.0,10.0,0.422,-8.56,0.0,0.114,183.174,4.0,https://api.spotify.com/v1/tracks/3GVyT9fBXuEkGs1STo2WHZ,audio_features,spotify:track:3GVyT9fBXuEkGs1STo2WHZ,0.961
